course_number,neighbours
1,"2:6.1,3:3.8,23:3.4,4:3.4,129:2.9,14:2.8,86:2.6,201:2.6"
2,"3:16.4,4:12.2,1:6.1,38:4.5,6:4.3,12:3.6,29:3.1,97:2.6"
3,"2:16.4,4:10.6,8:5.6,1:3.8,38:3.6,29:3.0,12:2.8,97:2.7"
4,"2:12.2,3:10.6,7:7.5,39:7.1,11:6.0,147:4.8,18:3.6,1:3.4"
5,"8:5.2,6:3.8,229:3.7,64:2.7,74:2.6,1:2.4,12:2.3,47:2.3"
6,"7:4.4,2:4.3,16:4.2,5:3.8,113:3.6,15:3.6,13:3.4,37:3.2"
7,"21:8.6,4:7.5,106:6.9,14:6.1,56:5.8,86:5.1,19:4.8,6:4.4"
8,"3:5.6,5:5.2,10:4.6,25:4.5,23:4.4,85:4.2,9:4.1,7:4.0"
9,"198:7.8,184:4.4,8:4.1,10:3.9,192:3.9,7:3.9,33:3.5,20:3.1"
10,"8:4.6,9:3.9,209:3.8,32:3.3,38:3.3,20:3.2,235:3.1,225:3.0"
11,"14:8.0,4:6.0,21:5.3,23:5.1,33:4.8,56:4.4,19:4.2,22:4.2"
12,"198:4.0,2:3.6,184:3.3,97:3.2,167:3.0,16:2.9,3:2.8,143:2.8"
13,"6:3.4,201:2.0,1:1.9,47:1.7,51:1.7,12:1.6,67:1.6,42:1.1"
14,"11:8.0,7:6.1,17:6.0,25:4.8,32:4.5,202:3.5,207:3.2,18:3.1"
15,"210:3.8,78:3.8,6:3.6,59:2.9,211:2.9,97:2.5,1:2.5,150:2.5"
16,"22:7.4,209:5.2,54:4.9,56:4.9,38:4.8,37:4.8,101:4.4,32:4.3"
17,"14:6.0,21:4.2,240:4.1,213:4.1,19:4.0,22:4.0,102:3.9,33:3.9"
18,"205:6.1,212:5.2,211:4.6,216:4.4,54:4.3,219:4.2,7:4.1,40:4.0"
19,"30:14.3,33:6.4,28:5.7,20:5.6,37:5.5,25:5.1,210:4.9,7:4.8"
20,"30:7.1,19:5.6,33:4.7,37:4.5,21:4.0,36:3.9,108:3.5,31:3.4"
21,"106:15.2,56:10.2,7:8.6,23:5.6,33:5.3,11:5.3,28:5.1,233:4.8"
22,"16:7.4,30:6.1,146:5.5,37:5.4,40:5.4,208:4.8,31:4.8,26:4.7"
23,"203:5.9,39:5.7,21:5.6,31:5.4,236:5.2,11:5.1,28:5.1,33:4.9"
24,"48:2.8,201:2.7,47:2.6,12:2.5,42:1.4"
25,"37:7.6,28:7.0,33:5.8,30:5.3,19:5.1,14:4.8,151:4.6,8:4.5"
26,"237:4.7,22:4.7,40:4.4,31:4.2,210:3.9,28:3.6,33:3.3,37:3.3"
27,"33:4.7,234:4.0,209:3.8,8:3.8,29:3.5,210:3.3,56:3.2,205:3.0"
28,"25:7.0,203:6.0,33:5.7,31:5.7,19:5.7,40:5.4,30:5.3,37:5.2"
29,"19:3.6,27:3.5,38:3.4,210:3.4,33:3.4,20:3.4,198:3.2,16:3.2"
30,"19:14.3,33:7.1,20:7.1,37:6.8,22:6.1,39:5.4,28:5.3,25:5.3"
31,"28:5.7,23:5.4,30:5.0,22:4.8,203:4.3,26:4.2,19:4.2,206:4.0"
32,"23:4.6,30:4.5,14:4.5,28:4.4,16:4.3,19:4.1,22:3.9,91:3.9"
33,"30:7.1,37:7.1,19:6.4,25:5.8,28:5.7,21:5.3,40:5.0,23:4.9"
34,"216:5.0,212:4.1,78:3.7,205:3.3,204:3.3,210:3.1,228:3.0,29:2.7"
35,"36:8.6,216:5.8,64:3.2,204:3.2,29:3.0,201:2.7,1:2.5,228:2.5"
36,"35:8.6,209:4.6,20:3.9,235:3.8,32:3.8,38:3.7,210:3.3,101:3.3"
37,"25:7.6,33:7.1,30:6.8,151:5.5,19:5.5,22:5.4,28:5.2,16:4.8"
38,"16:4.8,2:4.5,210:4.3,106:4.0,33:3.8,231:3.8,36:3.7,3:3.6"
39,"147:7.1,4:7.1,172:6.9,148:6.0,40:5.8,23:5.7,30:5.4,162:5.3"
40,"39:5.8,28:5.4,22:5.4,33:5.0,26:4.4,18:4.0,32:3.8,54:3.7"
41,"43:2.9,42:2.6,44:2.5,62:2.5,55:2.5,2:2.4,54:2.4,46:2.2"
42,"48:3.1,41:2.6,47:2.3,44:2.3,72:2.2,78:2.2,73:2.2,43:2.0"
43,"45:3.4,222:3.3,220:3.2,223:3.1,44:3.1,50:3.1,234:3.0,71:2.9"
44,"118:3.3,43:3.1,206:3.0,50:2.7,54:2.6,135:2.6,41:2.5,47:2.5"
45,"69:3.8,43:3.4,78:3.3,55:3.3,46:3.2,234:3.0,171:3.0,75:2.9"
46,"16:3.7,187:3.4,45:3.2,218:3.1,215:3.1,217:3.0,225:3.0,232:3.0"
47,"72:3.8,78:3.6,73:3.2,48:3.1,53:3.1,50:2.9,57:2.8,49:2.7"
48,"72:3.8,78:3.3,47:3.1,42:3.1,24:2.8,232:2.5,220:2.5,50:2.4"
49,"146:4.5,22:2.8,47:2.7,220:2.7,75:2.6,46:2.6,62:2.6,55:2.6"
50,"53:4.1,59:3.7,75:3.3,213:3.2,227:3.2,54:3.2,226:3.2,78:3.1"
51,"58:8.7,226:5.4,228:3.7,53:3.1,136:2.7,59:2.6,55:2.6,198:2.5"
52,"57:4.1,53:3.7,54:3.6,78:3.4,206:3.3,62:3.2,68:3.1,209:3.0"
53,"59:5.0,131:4.9,56:4.2,50:4.1,55:3.9,52:3.7,63:3.7,57:3.5"
54,"16:4.9,71:4.5,111:4.3,18:4.3,205:4.1,40:3.7,57:3.7,211:3.7"
55,"60:5.9,106:4.4,56:4.3,68:4.3,58:4.2,30:4.0,77:3.9,61:3.9"
56,"21:10.2,106:7.8,7:5.8,16:4.9,11:4.4,114:4.3,55:4.3,53:4.2"
57,"237:4.7,52:4.1,54:3.7,218:3.6,53:3.5,68:3.4,238:3.3,63:3.2"
58,"226:8.7,51:8.7,70:5.4,228:5.3,55:4.2,60:3.6,53:3.2,56:3.1"
59,"53:5.0,50:3.7,54:3.3,111:3.0,56:2.9,230:2.9,209:2.9,58:2.9"
60,"55:5.9,144:3.9,68:3.8,106:3.8,223:3.7,58:3.6,238:3.6,56:3.5"
61,"145:7.3,68:5.1,66:4.4,67:4.3,55:3.9,118:3.7,77:3.5,113:3.4"
62,"162:5.5,106:5.3,114:4.3,238:4.1,171:3.8,221:3.3,30:3.3,52:3.2"
63,"75:3.7,53:3.7,206:3.3,57:3.2,62:3.1,50:2.9,69:2.8,52:2.8"
64,"113:4.5,35:3.2,142:3.0,225:3.0,55:3.0,119:3.0,106:2.9,33:2.9"
65,"54:3.3,50:3.0,75:2.9,225:2.8,61:2.8,74:2.7,62:2.7,55:2.7"
66,"68:4.9,145:4.7,61:4.4,55:2.9,67:2.9,78:2.8,225:2.8,60:2.7"
67,"145:4.5,61:4.3,68:3.2,66:2.9,184:2.8,55:2.8,150:2.7,77:2.6"
68,"145:8.1,61:5.1,66:4.9,77:4.4,55:4.3,60:3.8,218:3.7,221:3.6"
69,"45:3.8,212:3.2,238:3.0,115:2.9,171:2.9,54:2.9,62:2.8,63:2.8"
70,"58:5.4,226:5.1,228:3.9,60:2.6,50:2.5,72:2.3,136:2.2,78:2.1"
71,"205:5.4,211:4.8,212:4.8,54:4.5,238:4.3,18:3.9,239:3.5,225:3.4"
72,"47:3.8,48:3.8,78:3.5,73:3.0,45:2.9,113:2.8,21:2.7,57:2.7"
73,"78:3.4,47:3.2,72:3.0,68:2.7,228:2.7,49:2.6,238:2.5,43:2.5"
74,"109:3.4,222:3.3,105:3.3,113:3.1,234:3.0,192:3.0,68:2.9,224:2.9"
75,"63:3.7,213:3.6,78:3.4,50:3.3,60:3.1,58:3.0,45:2.9,65:2.9"
76,"142:3.8,106:3.0,54:3.0,185:2.8,75:2.8,69:2.8,234:2.7,62:2.7"
77,"68:4.4,145:4.0,55:3.9,106:3.5,61:3.5,98:3.3,137:3.2,87:2.9"
78,"138:5.6,131:4.8,15:3.8,34:3.7,47:3.6,72:3.5,75:3.4,52:3.4"
79,"138:4.8,136:4.6,131:3.7,93:3.2,187:2.8,78:2.8,225:2.6,72:2.6"
80,"197:3.1,102:2.9,77:2.9,75:2.7,234:2.7,57:2.7,71:2.7,43:2.7"
81,"82:7.7,118:6.9,173:4.9,174:3.7,161:3.5,198:3.2,171:3.2,114:3.2"
82,"81:7.7,173:7.0,184:4.9,85:4.8,174:4.7,162:4.7,39:4.7,108:4.2"
83,"97:2.7,201:1.9,12:1.9,44:1.7,42:1.1"
84,"150:2.6,49:2.4,1:2.4,47:2.0,51:2.0,41:1.6,42:1.5"
85,"86:11.6,94:10.2,87:7.7,82:4.8,97:4.4,8:4.2,60:3.2,107:2.9"
