course_number,subject,readers,finishers
1,histoire,2374,981
2,histoire,328,126
3,histoire,377,164
4,histoire,404,182
5,histoire,423,196
6,histoire,1249,672
7,histoire,553,292
8,histoire,695,337
9,histoire,682,348
10,histoire,680,372
11,histoire,603,308
12,histoire,2492,906
13,histoire,376,193
14,histoire,437,256
15,histoire,386,243
16,histoire,358,207
17,histoire,663,371
18,histoire,1018,574
19,histoire,550,313
20,histoire,864,507
21,histoire,502,303
22,histoire,552,314
23,histoire,525,293
24,histoire,222,113
25,histoire,799,425
26,histoire,678,362
27,histoire,524,279
28,histoire,578,338
29,histoire,1662,918
30,histoire,482,259
31,histoire,613,362
32,histoire,900,439
33,histoire,655,398
34,histoire,424,208
35,histoire,350,222
36,histoire,538,279
37,histoire,816,479
38,histoire,1092,667
39,histoire,590,324
40,histoire,493,262
41,sciences,2906,1409
42,sciences,6409,3911
43,sciences,1079,562
44,sciences,2735,1617
45,sciences,1278,677
46,sciences,1420,842
47,sciences,2449,1675
48,sciences,2595,1564
49,sciences,2053,1282
50,sciences,1187,742
51,sciences,3010,1645
52,sciences,654,398
53,sciences,727,458
54,sciences,914,598
55,sciences,876,529
56,sciences,915,614
57,sciences,1041,671
58,sciences,1704,989
59,sciences,1334,920
60,sciences,958,665
61,sciences,1538,831
62,sciences,924,433
63,sciences,870,435
64,sciences,1297,764
65,sciences,896,434
66,sciences,1497,779
67,sciences,2813,1355
68,sciences,1179,629
69,sciences,1358,756
70,sciences,593,262
71,sciences,705,382
72,sciences,2149,1288
73,sciences,2582,1552
74,sciences,1394,774
75,sciences,670,343
76,sciences,1217,659
77,sciences,993,507
78,sciences,1158,625
79,sciences,1833,965
80,sciences,857,424
81,litterature,1459,607
82,litterature,583,306
83,litterature,351,177
84,litterature,297,143
85,litterature,550,306
86,litterature,551,312
87,litterature,814,437
88,litterature,395,205
89,litterature,205,113
90,litterature,252,119
91,litterature,499,240
92,litterature,426,236
93,litterature,240,118
94,litterature,261,131
95,litterature,274,142
96,litterature,648,367
97,litterature,1788,872
98,litterature,423,234
99,litterature,231,114
100,litterature,423,223
101,litterature,880,509
102,litterature,756,396
103,litterature,611,312
104,litterature,854,431
105,litterature,399,217
106,litterature,404,235
107,litterature,978,547
108,litterature,658,388
109,litterature,343,178
110,litterature,225,126
111,litterature,388,195
112,litterature,464,274
113,litterature,324,172
114,litterature,392,220
115,litterature,406,230
116,litterature,998,612
117,litterature,292,157
118,litterature,271,150
119,litterature,658,410
120,litterature,774,469
121,art,858,416
122,art,694,343
123,art,295,174
124,art,233,122
125,art,274,135
126,art,313,165
127,art,670,343
128,art,671,324
129,art,294,155
130,art,275,143
131,art,433,249
132,art,220,123
133,art,609,310
134,art,268,155
135,art,538,310
136,art,1171,523
137,art,470,228
138,art,354,176
139,art,605,338
140,art,394,208
141,art,767,423
142,art,481,280
143,art,260,146
144,art,394,232
145,art,410,239
146,art,533,273
147,art,824,470
148,art,414,257
149,art,1058,637
150,art,1974,1141
151,art,436,256
152,art,303,178
153,art,664,364
154,art,416,235
155,art,531,327
156,art,324,188
157,art,896,506
158,art,393,185
159,art,505,285
160,art,475,268
161,mythologie,1255,615
162,mythologie,535,300
163,mythologie,883,515
164,mythologie,439,244
165,mythologie,420,248
166,mythologie,541,312
167,mythologie,411,239
168,mythologie,625,362
169,mythologie,433,245
170,mythologie,651,374
171,mythologie,482,270
172,mythologie,379,219
173,mythologie,580,356
174,mythologie,686,401
175,mythologie,220,96
176,mythologie,477,265
177,mythologie,355,222
178,mythologie,260,149
179,mythologie,656,361
180,mythologie,407,204
181,mythologie,382,204
182,mythologie,365,210
183,mythologie,356,195
184,mythologie,660,333
185,mythologie,425,246
186,mythologie,318,177
187,mythologie,577,322
188,mythologie,292,164
189,mythologie,550,323
191,mythologie,271,138
192,mythologie,577,316
193,mythologie,281,143
194,mythologie,178,90
195,mythologie,260,139
196,mythologie,399,216
197,mythologie,557,297
198,mythologie,330,141
199,mythologie,259,144
200,mythologie,487,234
201,comprendreLeMonde,2480,1328
202,comprendreLeMonde,1053,539
203,comprendreLeMonde,563,336
204,comprendreLeMonde,1262,574
205,comprendreLeMonde,1053,559
206,comprendreLeMonde,659,399
207,comprendreLeMonde,1051,555
208,comprendreLeMonde,713,393
209,comprendreLeMonde,938,502
210,comprendreLeMonde,1061,596
211,comprendreLeMonde,1399,746
212,comprendreLeMonde,919,580
213,comprendreLeMonde,701,424
214,comprendreLeMonde,416,216
215,comprendreLeMonde,544,333
216,comprendreLeMonde,895,513
217,comprendreLeMonde,814,470
218,comprendreLeMonde,447,265
219,comprendreLeMonde,529,291
220,comprendreLeMonde,549,334
221,comprendreLeMonde,733,402
222,comprendreLeMonde,589,336
223,comprendreLeMonde,538,300
224,comprendreLeMonde,993,544
225,comprendreLeMonde,854,471
226,comprendreLeMonde,1198,687
227,comprendreLeMonde,744,379
228,comprendreLeMonde,1690,1009
229,comprendreLeMonde,974,482
230,comprendreLeMonde,504,288
231,comprendreLeMonde,459,259
232,comprendreLeMonde,795,413
233,comprendreLeMonde,606,342
234,comprendreLeMonde,671,381
235,comprendreLeMonde,787,462
236,comprendreLeMonde,543,298
237,comprendreLeMonde,482,269
238,comprendreLeMonde,514,267
239,comprendreLeMonde,799,423
240,comprendreLeMonde,876,473
